station_name,wmo_id,lat,lon,elev_m,division,district,region,coord_source,pw_lat,pw_lon,pw_dist_km
Ambagan (Ctg),,22.36,91.79,34.0,Chattogram,Chattogram,SE,draft,22.5,91.875,18.179956683116405
Barisal,41950.0,22.75,90.3667,4.0,Barishal,Barishal,SW,draft,22.5,90.625,39.90120228376628
Bhola,41951.0,22.68,90.65,4.0,Barishal,Bhola,SW,draft,22.5,90.625,20.17178784837879
Bogra,41883.0,24.85,89.37,20.0,Rajshahi,Bogura,NW,draft,25.0,89.375,16.65924743198186
Chandpur,41941.0,23.23,90.7,6.0,Chattogram,Chandpur,SE,draft,23.0,90.625,26.85305429555468
Chittagong,41978.0,22.27,91.82,6.0,Chattogram,Chattogram,SE,draft,22.5,91.875,26.24979857065596
Chuadanga,41926.0,23.65,88.82,12.0,Khulna,Chuadanga,SW,draft,23.5,88.75,18.37376934654354
Comilla,41933.0,23.43,91.18,10.0,Chattogram,Cumilla,SE,draft,23.5,91.25,10.988439379638436
Cox's Bazar,41992.0,21.45,91.97,4.0,Chattogram,Cox's Bazar,SE,draft,21.5,91.875,11.916355357238983
Dhaka,41923.0,23.7667,90.3833,8.4,Dhaka,Dhaka,M,draft,24.0,90.625,37.28803423861288
Dinajpur,41863.0,25.65,88.68,37.0,Rangpur,Dinajpur,NW,draft,25.5,88.75,18.37376934654354
Faridpur,41929.0,23.6,89.85,8.0,Dhaka,Faridpur,M,draft,23.5,90.0,20.010809578825754
Feni,41943.0,23.03,91.42,8.0,Chattogram,Feni,SE,draft,23.0,91.25,19.161570916811804
Gazipur,,24.0,90.42,12.0,Dhaka,Gazipur,M,draft,24.0,90.625,22.75499999999981
Hatiya,41963.0,22.43,91.1,4.0,Chattogram,Noakhali,SE,draft,22.5,91.25,18.373769346544588
Ishurdi,41907.0,24.13,89.05,14.0,Rajshahi,Pabna,NW,draft,24.0,88.75,36.2920776478831
Jashore,41936.0,23.18,89.17,7.0,Khulna,Jashore,SW,draft,23.0,89.375,30.28184976186214
Khepupara,41984.0,21.98,90.23,3.0,Barishal,Patuakhali,SW,draft,22.0,90.0,25.62633996496617
Khulna,41947.0,22.78,89.53,3.0,Khulna,Khulna,SW,draft,23.0,89.375,29.872201542571283
Kutubdia,41989.0,21.82,91.85,4.0,Chattogram,Cox's Bazar,SE,draft,22.0,91.875,20.17178784837879
Madaripur,41939.0,23.17,90.2,6.0,Dhaka,Madaripur,M,draft,23.0,90.0,29.13617854146321
Maijdee Court,41953.0,22.87,91.1,6.0,Chattogram,Noakhali,SE,draft,23.0,91.25,22.032870897820327
Mongla,,22.47,89.6,3.0,Khulna,Bagerhat,SW,draft,22.5,89.375,25.196022007451283
Mymensingh,41886.0,24.72,90.42,19.0,Mymensingh,Mymensingh,M,draft,24.5,90.625,33.37853239733565
Patuakhali,41960.0,22.33,90.33,3.0,Barishal,Patuakhali,SW,draft,22.5,90.625,37.793014235438
Rajshahi,41895.0,24.37,88.7,20.0,Rajshahi,Rajshahi,NW,draft,24.5,88.75,15.460510987674157
Rangamati,41966.0,22.53,92.2,32.0,Chattogram,Rangamati,SE,draft,22.5,92.5,33.46608581833226
Rangpur,41859.0,25.73,89.23,34.0,Rangpur,Rangpur,NW,draft,25.5,89.375,30.179958995995808
Saidpur,,25.75,88.92,34.0,Rangpur,Nilphamari,NW,draft,25.5,88.75,33.55800053638487
Sandwip,41964.0,22.48,91.43,6.0,Chattogram,Chattogram,SE,draft,22.5,91.25,20.102955006665812
Satkhira,41946.0,22.72,89.08,4.0,Khulna,Satkhira,SW,draft,22.5,89.375,40.84815081493905
Sitakunda,41965.0,22.63,91.7,3.0,Chattogram,Chattogram,SE,draft,22.5,91.875,24.198254585816404
Srimangal,41915.0,24.3,91.73,23.0,Sylhet,Moulvibazar,NE,draft,24.5,91.875,27.420594906018767
Sylhet,41891.0,24.9,91.88,34.0,Sylhet,Sylhet,NE,draft,25.0,91.875,11.11386633894807
Tangail,41909.0,24.25,89.92,10.0,Dhaka,Tangail,M,draft,24.0,90.0,29.13617854146279
Teknaf,41998.0,20.87,92.3,4.0,Chattogram,Cox's Bazar,SE,draft,21.0,92.5,26.477630180966173
