station_name,pw_lat,pw_lon,pw_dist_km
Ambagan (Ctg),22.5,91.875,18.179956683116405
Barisal,22.5,90.625,39.90120228376628
Bhola,22.5,90.625,20.17178784837879
Bogra,25.0,89.375,16.65924743198186
Chandpur,23.0,90.625,26.85305429555468
Chittagong,22.5,91.875,26.24979857065596
Chuadanga,23.5,88.75,18.37376934654354
Comilla,23.5,91.25,10.988439379638436
Cox's Bazar,21.5,91.875,11.916355357238983
Dhaka,24.0,90.625,37.28803423861288
Dinajpur,25.5,88.75,18.37376934654354
Faridpur,23.5,90.0,20.010809578825754
Feni,23.0,91.25,19.161570916811804
Gazipur,24.0,90.625,22.75499999999981
Hatiya,22.5,91.25,18.373769346544588
Ishurdi,24.0,88.75,36.2920776478831
Jashore,23.0,89.375,30.28184976186214
Khepupara,22.0,90.0,25.62633996496617
Khulna,23.0,89.375,29.872201542571283
Kutubdia,22.0,91.875,20.17178784837879
Madaripur,23.0,90.0,29.13617854146321
Maijdee Court,23.0,91.25,22.032870897820327
Mongla,22.5,89.375,25.196022007451283
Mymensingh,24.5,90.625,33.37853239733565
Patuakhali,22.5,90.625,37.793014235438
Rajshahi,24.5,88.75,15.460510987674157
Rangamati,22.5,92.5,33.46608581833226
Rangpur,25.5,89.375,30.179958995995808
Saidpur,25.5,88.75,33.55800053638487
Sandwip,22.5,91.25,20.102955006665812
Satkhira,22.5,89.375,40.84815081493905
Sitakunda,22.5,91.875,24.198254585816404
Srimangal,24.5,91.875,27.420594906018767
Sylhet,25.0,91.875,11.11386633894807
Tangail,24.0,90.0,29.13617854146279
Teknaf,21.0,92.5,26.477630180966173
