station_name,landscape
Ambagan (Ctg),Hill-adjacent
Barisal,Interior plain
Bhola,Interior plain
Bogra,Interior plain
Chandpur,Interior plain
Chittagong,Interior plain
Chuadanga,Interior plain
Comilla,Interior plain
Cox's Bazar,Coastal / island
Dhaka,Interior plain
Dinajpur,Interior plain
Faridpur,Interior plain
Feni,Interior plain
Gazipur,Interior plain
Hatiya,Coastal / island
Ishurdi,Interior plain
Jashore,Interior plain
Khepupara,Interior plain
Khulna,Interior plain
Kutubdia,Coastal / island
Madaripur,Interior plain
Maijdee Court,Interior plain
Mongla,Coastal / island
Mymensingh,Interior plain
Patuakhali,Interior plain
Rajshahi,Interior plain
Rangamati,Hill-adjacent
Rangpur,Interior plain
Saidpur,Interior plain
Sandwip,Coastal / island
Satkhira,Interior plain
Sitakunda,Hill-adjacent
Srimangal,Hill-adjacent
Sylhet,Hill-adjacent
Tangail,Interior plain
Teknaf,Hill-adjacent
