station_name,wmo_id,lat,lon,elev_m,division,district,region,coord_source
Ambagan (Ctg),,22.36,91.79,34.0,Chattogram,Chattogram,SE,draft
Barisal,41950.0,22.75,90.3667,4.0,Barishal,Barishal,SW,draft
Bhola,41951.0,22.68,90.65,4.0,Barishal,Bhola,SW,draft
Bogra,41883.0,24.85,89.37,20.0,Rajshahi,Bogura,NW,draft
Chandpur,41941.0,23.23,90.7,6.0,Chattogram,Chandpur,SE,draft
Chittagong,41978.0,22.27,91.82,6.0,Chattogram,Chattogram,SE,draft
Chuadanga,41926.0,23.65,88.82,12.0,Khulna,Chuadanga,SW,draft
Comilla,41933.0,23.43,91.18,10.0,Chattogram,Cumilla,SE,draft
Cox's Bazar,41992.0,21.45,91.97,4.0,Chattogram,Cox's Bazar,SE,draft
Dhaka,41923.0,23.7667,90.3833,8.4,Dhaka,Dhaka,M,draft
Dinajpur,41863.0,25.65,88.68,37.0,Rangpur,Dinajpur,NW,draft
Faridpur,41929.0,23.6,89.85,8.0,Dhaka,Faridpur,M,draft
Feni,41943.0,23.03,91.42,8.0,Chattogram,Feni,SE,draft
Gazipur,,24.0,90.42,12.0,Dhaka,Gazipur,M,draft
Hatiya,41963.0,22.43,91.1,4.0,Chattogram,Noakhali,SE,draft
Ishurdi,41907.0,24.13,89.05,14.0,Rajshahi,Pabna,NW,draft
Jashore,41936.0,23.18,89.17,7.0,Khulna,Jashore,SW,draft
Khepupara,41984.0,21.98,90.23,3.0,Barishal,Patuakhali,SW,draft
Khulna,41947.0,22.78,89.53,3.0,Khulna,Khulna,SW,draft
Kutubdia,41989.0,21.82,91.85,4.0,Chattogram,Cox's Bazar,SE,draft
Madaripur,41939.0,23.17,90.2,6.0,Dhaka,Madaripur,M,draft
Maijdee Court,41953.0,22.87,91.1,6.0,Chattogram,Noakhali,SE,draft
Mongla,,22.47,89.6,3.0,Khulna,Bagerhat,SW,draft
Mymensingh,41886.0,24.72,90.42,19.0,Mymensingh,Mymensingh,M,draft
Patuakhali,41960.0,22.33,90.33,3.0,Barishal,Patuakhali,SW,draft
Rajshahi,41895.0,24.37,88.7,20.0,Rajshahi,Rajshahi,NW,draft
Rangamati,41966.0,22.53,92.2,32.0,Chattogram,Rangamati,SE,draft
Rangpur,41859.0,25.73,89.23,34.0,Rangpur,Rangpur,NW,draft
Saidpur,,25.75,88.92,34.0,Rangpur,Nilphamari,NW,draft
Sandwip,41964.0,22.48,91.43,6.0,Chattogram,Chattogram,SE,draft
Satkhira,41946.0,22.72,89.08,4.0,Khulna,Satkhira,SW,draft
Sitakunda,41965.0,22.63,91.7,3.0,Chattogram,Chattogram,SE,draft
Srimangal,41915.0,24.3,91.73,23.0,Sylhet,Moulvibazar,NE,draft
Sylhet,41891.0,24.9,91.88,34.0,Sylhet,Sylhet,NE,draft
Tangail,41909.0,24.25,89.92,10.0,Dhaka,Tangail,M,draft
Teknaf,41998.0,20.87,92.3,4.0,Chattogram,Cox's Bazar,SE,draft
