station_name,tmax_pettitt_p,tmax_snht_stat,tmax_snht_break,prcp_pettitt_p,tmax_homogeneous_5pct
Ambagan (Ctg),0.3439,6.21,True,0.8082,True
Barisal,0.0285,9.75,True,1.0,False
Bhola,0.0014,14.93,True,0.5414,False
Bogra,0.0737,8.52,True,0.5671,True
Chandpur,0.0016,16.53,True,0.9256,False
Chittagong,0.0165,10.19,True,0.9624,False
Chuadanga,0.6205,6.03,True,0.0397,True
Comilla,0.3827,12.7,True,0.6766,True
Cox's Bazar,0.6766,5.18,False,0.3629,True
Dhaka,0.0067,11.76,True,0.2913,False
Dinajpur,0.0285,9.17,True,0.2913,False
Faridpur,0.0067,11.67,True,0.4243,False
Feni,0.0006,16.74,True,0.6205,False
Gazipur,0.0713,10.32,True,0.09,True
Hatiya,0.003,15.18,True,0.1585,False
Ishurdi,0.0854,9.15,True,0.6482,True
Jashore,0.5165,3.97,False,0.0737,True
Khepupara,0.0009,15.01,True,0.9928,False
Khulna,0.0854,7.09,True,0.2913,True
Kutubdia,0.0033,14.21,True,0.2913,False
Madaripur,0.4924,2.18,False,0.3629,True
Maijdee Court,0.0737,10.24,True,0.2307,True
Mongla,0.1691,9.75,True,0.6766,True
Mymensingh,0.0241,9.64,True,0.3827,False
Patuakhali,0.0118,11.71,True,0.5934,False
Rajshahi,0.017,11.73,True,0.2596,False
Rangamati,0.2751,7.57,True,1.0,True
Rangpur,0.005,13.18,True,0.2913,False
Saidpur,0.0055,12.07,True,0.2042,False
Sandwip,0.0965,10.13,True,0.1504,True
Satkhira,0.2913,3.48,False,0.0985,True
Sitakunda,0.1485,10.33,True,0.6205,True
Srimangal,0.0142,10.89,True,0.2042,False
Sylhet,0.0118,10.88,True,0.6766,False
Tangail,0.0202,10.14,True,0.7967,False
Teknaf,0.0033,13.95,True,0.0337,False
