station_name,n_days,start,end,mean_tmax_raw,mean_tmax_corr,focal,mean_tmax_shift
Ambagan (Ctg),9708,2000-01-01,2026-07-30,28.67610094237831,31.246072130279025,False,2.57
Barisal,9708,2000-01-01,2026-07-30,29.51221283549974,31.06856756027129,False,1.56
Bhola,9708,2000-01-01,2026-07-30,29.20715896581299,30.842385065499148,False,1.64
Bogra,9708,2000-01-01,2026-07-30,29.60572991420275,30.869689102354876,False,1.26
Chandpur,9708,2000-01-01,2026-07-30,29.493841322626576,31.048614818626113,False,1.55
Chittagong,9708,2000-01-01,2026-07-30,28.3963013760976,30.6408320122994,False,2.24
Chuadanga,9708,2000-01-01,2026-07-30,30.2592036837848,31.63501260392184,False,1.38
Comilla,9708,2000-01-01,2026-07-30,29.704070766403415,30.658246594263538,False,0.95
Cox's Bazar,9708,2000-01-01,2026-07-30,28.49235769145325,31.199206625067447,False,2.71
Dhaka,9708,2000-01-01,2026-07-30,29.74111917697703,31.05490909955731,False,1.31
Dinajpur,9708,2000-01-01,2026-07-30,29.256237149169845,30.26399202247939,False,1.01
Faridpur,9708,2000-01-01,2026-07-30,29.828368396861222,31.141249631430448,False,1.31
Feni,9708,2000-01-01,2026-07-30,29.654183735197176,30.73164089770706,False,1.08
Gazipur,9708,2000-01-01,2026-07-30,29.789802007121143,31.075780809900504,False,1.29
Hatiya,9708,2000-01-01,2026-07-30,27.76787698507606,30.387757846960174,False,2.62
Ishurdi,9708,2000-01-01,2026-07-30,29.995160296251143,31.3251051106482,False,1.33
Jashore,9708,2000-01-01,2026-07-30,30.34650330419743,32.079781142403796,False,1.73
Khepupara,9708,2000-01-01,2026-07-30,28.857704575660076,31.017375347459307,False,2.16
Khulna,9708,2000-01-01,2026-07-30,30.151783041056188,31.566002246024915,False,1.41
Kutubdia,9342,2001-01-01,2026-07-30,28.1530586483268,30.09684996968836,True,1.94
Madaripur,9708,2000-01-01,2026-07-30,29.81572492463531,31.156065333578432,False,1.34
Maijdee Court,9708,2000-01-01,2026-07-30,29.67622974774552,30.847958807631056,False,1.17
Mongla,9708,2000-01-01,2026-07-30,29.830164463843268,31.403285274404112,False,1.57
Mymensingh,9708,2000-01-01,2026-07-30,29.405637152144898,30.114470679333966,False,0.71
Patuakhali,9708,2000-01-01,2026-07-30,29.74570586554644,31.256540672566327,False,1.51
Rajshahi,9708,2000-01-01,2026-07-30,30.06435137584863,31.54341814017522,False,1.48
Rangamati,9708,2000-01-01,2026-07-30,30.00117084140096,31.31128956770457,False,1.31
Rangpur,9708,2000-01-01,2026-07-30,29.134623426225996,29.957945829170207,False,0.82
Saidpur,9708,2000-01-01,2026-07-30,29.141458609274128,30.392878784762548,False,1.25
Sandwip,9342,2001-01-01,2026-07-30,28.503584188283725,30.632455433560793,True,2.13
Satkhira,9708,2000-01-01,2026-07-30,30.137603088303482,31.364080586352436,False,1.23
Sitakunda,9708,2000-01-01,2026-07-30,28.579580551103476,31.451934659514627,False,2.87
Srimangal,9708,2000-01-01,2026-07-30,29.300284141348794,30.973517267701922,False,1.67
Sylhet,9708,2000-01-01,2026-07-30,28.342568733960377,30.755649136498228,False,2.41
Tangail,9708,2000-01-01,2026-07-30,29.698451343248767,30.97086644119905,False,1.27
Teknaf,9708,2000-01-01,2026-07-30,28.697198858838757,30.719885359080397,False,2.02
