variable,method,stage,n,r,bias,mae,rmse,kge
Tmax,LS,corrected,103738,0.924,-0.304,1.08,1.401,0.884
Tmax,EQM,corrected,103738,0.93,-0.295,1.052,1.382,0.927
Tmax,TQM,corrected,103738,0.93,-0.296,1.059,1.394,0.921
Tmax,RAW,raw,103738,0.916,-1.834,2.034,2.324,0.869
Tmin,LS,corrected,102643,0.963,-0.073,1.117,1.431,0.9
Tmin,EQM,corrected,102643,0.967,-0.006,1.0,1.352,0.962
Tmin,TQM,corrected,102643,0.967,-0.006,1.003,1.356,0.96
Tmin,RAW,raw,102643,0.952,0.095,1.223,1.609,0.905
Precip,LS,corrected,103780,0.464,-0.119,6.785,16.981,0.392
Precip,EQM,corrected,103780,0.444,-0.395,7.055,18.343,0.426
Precip,TQM,corrected,103780,0.44,-0.202,7.2,19.041,0.437
Precip,RAW,raw,103780,0.455,-0.525,6.655,16.77,0.34
