station_name,wmo_id,lat,lon,elev_m,division,district,tmax_complete_pct,tmin_complete_pct,prcp_complete_pct,record_start,record_end,land_frac_9km,elev_std_9km,focal_filled
Ambagan (Ctg),,22.36,91.79,34.0,Chattogram,Chattogram,95.0,90.9,93.4,2000-01-01,2023-12-31,0.951,14.1,False
Barisal,41950.0,22.75,90.367,4.0,Barishal,Barishal,99.9,95.8,99.9,2000-01-01,2023-12-31,0.933,3.58,False
Bhola,41951.0,22.68,90.65,4.0,Barishal,Bhola,97.6,99.9,99.9,2000-01-01,2023-12-31,0.928,4.0,False
Bogra,41883.0,24.85,89.37,20.0,Rajshahi,Bogura,99.4,99.6,100.0,2000-01-01,2023-12-31,1.0,3.0,False
Chandpur,41941.0,23.23,90.7,6.0,Chattogram,Chandpur,99.9,99.9,99.9,2000-01-01,2023-12-31,0.972,3.59,False
Chittagong,41978.0,22.27,91.82,6.0,Chattogram,Chattogram,79.1,79.1,83.2,2000-01-01,2023-12-31,0.856,7.57,False
Chuadanga,41926.0,23.65,88.82,12.0,Khulna,Chuadanga,100.0,100.0,99.9,2000-01-01,2023-12-31,1.0,2.77,False
Comilla,41933.0,23.43,91.18,10.0,Chattogram,Cumilla,100.0,100.0,100.0,2000-01-01,2023-12-31,0.999,3.36,False
Cox's Bazar,41992.0,21.45,91.97,4.0,Chattogram,Cox's Bazar,99.9,99.9,100.0,2000-01-01,2023-12-31,0.515,9.1,False
Dhaka,41923.0,23.767,90.383,8.4,Dhaka,Dhaka,100.0,100.0,99.9,2000-01-01,2023-12-31,0.976,4.82,False
Dinajpur,41863.0,25.65,88.68,37.0,Rangpur,Dinajpur,99.9,100.0,100.0,2000-01-01,2023-12-31,0.998,2.32,False
Faridpur,41929.0,23.6,89.85,8.0,Dhaka,Faridpur,99.8,99.8,100.0,2000-01-01,2023-12-31,0.964,3.63,False
Feni,41943.0,23.03,91.42,8.0,Chattogram,Feni,98.9,99.3,99.6,2000-01-01,2023-12-31,1.0,3.26,False
Gazipur,,24.0,90.42,12.0,Dhaka,Gazipur,94.0,94.0,93.9,2000-01-01,2022-07-31,1.0,3.83,False
Hatiya,41963.0,22.43,91.1,4.0,Chattogram,Noakhali,99.9,99.9,99.9,2000-01-01,2023-12-31,0.031,0.74,False
Ishurdi,41907.0,24.13,89.05,14.0,Rajshahi,Pabna,99.9,100.0,100.0,2000-01-01,2023-12-31,0.9,3.45,False
Jashore,41936.0,23.18,89.17,7.0,Khulna,Jashore,99.9,99.9,99.9,2000-01-01,2023-12-31,1.0,3.37,False
Khepupara,41984.0,21.98,90.23,3.0,Barishal,Patuakhali,99.6,99.6,99.9,2000-01-01,2023-12-31,0.91,1.82,False
Khulna,41947.0,22.78,89.53,3.0,Khulna,Khulna,99.9,100.0,100.0,2000-01-01,2023-12-31,0.934,2.16,False
Kutubdia,41989.0,21.82,91.85,4.0,Chattogram,Cox's Bazar,98.8,98.9,99.8,2000-01-01,2023-12-31,0.371,2.04,True
Madaripur,41939.0,23.17,90.2,6.0,Dhaka,Madaripur,97.8,97.3,99.6,2000-01-01,2023-12-31,0.962,3.15,False
Maijdee Court,41953.0,22.87,91.1,6.0,Chattogram,Noakhali,99.4,99.1,100.0,2000-01-01,2023-12-31,0.999,3.1,False
Mongla,,22.47,89.6,3.0,Khulna,Bagerhat,99.9,99.9,99.9,2000-01-01,2023-12-31,0.686,2.44,False
Mymensingh,41886.0,24.72,90.42,19.0,Mymensingh,Mymensingh,100.0,100.0,100.0,2000-01-01,2023-12-31,0.988,3.18,False
Patuakhali,41960.0,22.33,90.33,3.0,Barishal,Patuakhali,99.9,100.0,100.0,2000-01-01,2023-12-31,0.959,2.62,False
Rajshahi,41895.0,24.37,88.7,20.0,Rajshahi,Rajshahi,100.0,100.0,100.0,2000-01-01,2023-12-31,0.947,2.99,False
Rangamati,41966.0,22.53,92.2,32.0,Chattogram,Rangamati,99.2,95.0,99.9,2000-01-01,2023-12-31,0.754,48.06,False
Rangpur,41859.0,25.73,89.23,34.0,Rangpur,Rangpur,99.9,99.9,100.0,2000-01-01,2023-12-31,0.999,2.82,False
Saidpur,,25.75,88.92,34.0,Rangpur,Nilphamari,99.9,100.0,99.9,2000-01-01,2023-12-31,0.999,2.5,False
Sandwip,41964.0,22.48,91.43,6.0,Chattogram,Chattogram,86.4,86.5,94.3,2000-01-01,2023-12-31,0.421,3.47,True
Satkhira,41946.0,22.72,89.08,4.0,Khulna,Satkhira,100.0,99.9,99.9,2000-01-01,2023-12-31,0.954,3.33,False
Sitakunda,41965.0,22.63,91.7,3.0,Chattogram,Chattogram,99.9,97.8,99.5,2000-01-01,2023-12-31,1.0,56.94,False
Srimangal,41915.0,24.3,91.73,23.0,Sylhet,Moulvibazar,99.8,99.9,99.9,2000-01-01,2023-12-31,0.999,14.62,False
Sylhet,41891.0,24.9,91.88,34.0,Sylhet,Sylhet,99.9,100.0,100.0,2000-01-01,2023-12-31,0.984,12.42,False
Tangail,41909.0,24.25,89.92,10.0,Dhaka,Tangail,100.0,99.8,100.0,2000-01-01,2023-12-31,0.999,3.13,False
Teknaf,41998.0,20.87,92.3,4.0,Chattogram,Cox's Bazar,97.6,97.6,99.5,2000-01-01,2023-12-31,0.621,26.73,False
