product,stage,threshold,H,M,F,C,POD,FAR,CSI,HSS,period
ERA5-Land,raw,1,89736,9079,59625,152983,0.908,0.399,0.566,0.552,2000-2023 full
ERA5-Land,raw,10,28913,21873,32285,228352,0.569,0.528,0.348,0.411,2000-2023 full
ERA5-Land,raw,20,11300,20660,14837,264626,0.354,0.568,0.241,0.327,2000-2023 full
ERA5-Land,raw,50,1445,9301,2694,297983,0.134,0.651,0.108,0.178,2000-2023 full
NASA POWER,raw,1,90892,8156,57546,155561,0.918,0.388,0.58,0.571,2000-2023 full
NASA POWER,raw,10,32613,18317,29693,231532,0.64,0.477,0.405,0.483,2000-2023 full
NASA POWER,raw,20,15282,16777,16031,264065,0.477,0.512,0.318,0.424,2000-2023 full
NASA POWER,raw,50,2833,7958,4271,297093,0.263,0.601,0.188,0.297,2000-2023 full
ERA5-Land,raw (test),1,29470,3262,19657,51391,0.9,0.4,0.563,0.549,2016-2023 test
ERA5-Land+TQM,corrected,1,21423,11309,9096,61952,0.654,0.298,0.512,0.536,2016-2023 test
ERA5-Land,raw (test),10,9418,7370,10247,76745,0.561,0.521,0.348,0.415,2016-2023 test
ERA5-Land+TQM,corrected,10,8155,8633,7673,79319,0.486,0.485,0.333,0.407,2016-2023 test
ERA5-Land,raw (test),20,3757,6720,4783,88520,0.359,0.56,0.246,0.335,2016-2023 test
ERA5-Land+TQM,corrected,20,4270,6207,5965,87338,0.408,0.583,0.26,0.347,2016-2023 test
ERA5-Land,raw (test),50,419,3001,854,99506,0.123,0.671,0.098,0.164,2016-2023 test
ERA5-Land+TQM,corrected,50,980,2440,2526,97834,0.287,0.72,0.165,0.258,2016-2023 test
