variable,method,cv,features,n,r,bias,mae,rmse,kge
Tmax,RAW (ERA5),-,-,294181,0.897,-1.591,1.918,2.254,0.847
Tmin,RAW (ERA5),-,-,293110,0.952,0.095,1.241,1.636,0.897
Precip,RAW (ERA5),-,-,295141,0.441,-0.401,6.8,17.009,0.333
Tmax,RF,LOSO,with_nb,294181,0.926,-0.029,1.021,1.363,0.906
Tmax,ExtraTrees,LOSO,with_nb,294181,0.926,-0.033,1.023,1.369,0.905
Tmax,XGBoost,LOSO,with_nb,294181,0.927,-0.055,1.022,1.362,0.908
Tmax,LightGBM,LOSO,with_nb,294181,0.927,-0.026,1.016,1.355,0.907
Tmin,RF,LOSO,with_nb,293110,0.965,0.044,1.033,1.391,0.954
Tmin,ExtraTrees,LOSO,with_nb,293110,0.962,0.083,1.081,1.444,0.95
Tmin,XGBoost,LOSO,with_nb,293110,0.967,0.068,1.026,1.355,0.954
Tmin,LightGBM,LOSO,with_nb,293110,0.968,0.082,1.003,1.33,0.953
Precip,RF,LOSO,with_nb,295141,0.541,0.392,6.729,15.568,0.36
Precip,ExtraTrees,LOSO,with_nb,295141,0.542,0.205,6.653,15.545,0.344
Precip,XGBoost,LOSO,with_nb,295141,0.529,0.204,6.695,15.756,0.382
Precip,LightGBM,LOSO,with_nb,295141,0.531,0.048,6.618,15.685,0.364
Tmax,ExtraTrees,LOSO,no_nb,294181,0.925,-0.036,1.026,1.374,0.904
