station_name,raw_bias,corr_bias,raw_rmse,corr_rmse,raw_kge,corr_kge,focal_filled
Ambagan (Ctg),-2.616,-0.791,2.923,1.448,0.837,0.892,False
Barisal,-1.581,-0.134,2.076,1.109,0.891,0.944,False
Bhola,-1.649,-0.099,2.151,1.251,0.876,0.897,False
Bogra,-1.284,-0.069,2.121,1.359,0.848,0.938,False
Chandpur,-1.618,-0.376,2.241,1.279,0.827,0.917,False
Chittagong,-2.262,-0.376,2.633,1.313,0.816,0.886,False
Chuadanga,-1.402,-0.361,2.039,1.269,0.882,0.9,False
Comilla,-0.953,0.299,1.907,1.336,0.836,0.9,False
Cox's Bazar,-2.733,-0.61,3.01,1.284,0.846,0.893,False
Dhaka,-1.314,0.328,1.937,1.287,0.842,0.85,False
Dinajpur,-1.017,0.015,2.089,1.401,0.832,0.932,False
Faridpur,-1.311,0.257,1.956,1.184,0.87,0.922,False
Feni,-1.087,0.255,1.899,1.319,0.829,0.875,False
Gazipur,-1.287,0.582,2.06,1.533,0.83,0.875,False
Hatiya,-2.615,-0.673,2.907,1.492,0.813,0.879,False
Ishurdi,-1.354,-0.121,2.023,1.272,0.857,0.886,False
Jashore,-1.804,-0.718,2.314,1.366,0.873,0.912,False
Khepupara,-2.176,-0.35,2.492,1.138,0.826,0.912,False
Khulna,-1.427,0.544,2.065,1.375,0.851,0.858,False
Kutubdia,-2.269,,2.567,,0.846,,True
Madaripur,-1.329,-0.087,1.96,1.14,0.876,0.951,False
Maijdee Court,-1.197,-0.019,2.019,1.259,0.781,0.867,False
Mongla,-1.597,0.224,2.121,1.193,0.86,0.9,False
Mymensingh,-0.672,0.778,1.768,1.545,0.842,0.919,False
Patuakhali,-1.526,-0.124,2.048,1.163,0.853,0.934,False
Rajshahi,-1.519,-0.344,2.18,1.389,0.851,0.888,False
Rangamati,-1.334,0.619,2.124,1.58,0.859,0.839,False
Rangpur,-0.788,0.561,1.93,1.497,0.824,0.926,False
Saidpur,-1.282,-0.314,2.23,1.469,0.817,0.906,False
Sandwip,-2.304,,2.628,,0.803,,True
Satkhira,-1.221,0.501,1.852,1.307,0.877,0.865,False
Sitakunda,-2.866,-1.097,3.142,1.72,0.825,0.886,False
Srimangal,-1.664,0.806,2.24,1.591,0.857,0.877,False
Sylhet,-2.43,-0.375,2.88,1.563,0.83,0.892,False
Tangail,-1.298,-0.306,2.068,1.334,0.823,0.916,False
Teknaf,-2.039,-0.377,2.391,1.263,0.824,0.844,False
